GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EcoRecicla,ecorecicla.model,Recompensa,0,83,0,8,0,22,0,17,0,13
EcoRecicla,ecorecicla.model,Cidadao,0,121,0,14,0,27,0,18,0,11
EcoRecicla,ecorecicla.model,RelatorioImpacto,0,84,0,0,0,20,0,13,0,13
EcoRecicla,ecorecicla.model,Negociacao,0,96,0,6,0,31,0,19,0,16
EcoRecicla,ecorecicla.model,Material,0,98,0,6,0,19,0,15,0,12
EcoRecicla,ecorecicla.model,Cooperativa,126,0,8,0,31,0,21,0,17,0
EcoRecicla,ecorecicla.model,Empresa,126,0,6,0,32,0,18,0,15,0
EcoRecicla,ecorecicla.model,EntregaMaterial,0,103,0,4,0,27,0,17,0,15
EcoRecicla,ecorecicla.model,Usuario,0,104,0,6,0,31,0,21,0,18
EcoRecicla,ecorecicla.model,Administrador,57,0,0,0,18,0,10,0,10,0
EcoRecicla,ecorecicla.model,Pontuacao,0,91,0,6,0,22,0,10,0,7
EcoRecicla,ecorecicla.model,PontoDeColeta,0,148,0,4,0,35,0,19,0,17
EcoRecicla,ecorecicla.util,Validador,8,359,4,50,0,38,4,29,0,6
